log2(L1_SIZE),L1_SIZE (Bytes),Associativity,L1_miss_rate
10,1024,1,0.1935
10,1024,2,0.1560
10,1024,4,0.1427
10,1024,8,0.1363
10,1024,FULLY,0.1370
11,2048,1,0.1477
11,2048,2,0.1071
11,2048,4,0.0962
11,2048,8,0.0907
11,2048,FULLY,0.0886
12,4096,1,0.1002
12,4096,2,0.0753
12,4096,4,0.0599
12,4096,8,0.0537
12,4096,FULLY,0.0495
13,8192,1,0.0670
13,8192,2,0.0473
13,8192,4,0.0425
13,8192,8,0.0395
13,8192,FULLY,0.0391
14,16384,1,0.0461
14,16384,2,0.0338
14,16384,4,0.0283
14,16384,8,0.0277
14,16384,FULLY,0.0263
15,32768,1,0.0377
15,32768,2,0.0288
15,32768,4,0.0264
15,32768,8,0.0262
15,32768,FULLY,0.0262
16,65536,1,0.0329
16,65536,2,0.0271
16,65536,4,0.0260
16,65536,8,0.0259
16,65536,FULLY,0.0258
17,131072,1,0.0323
17,131072,2,0.0259
17,131072,4,0.0258
17,131072,8,0.0258
17,131072,FULLY,0.0258
18,262144,1,0.0258
18,262144,2,0.0258
18,262144,4,0.0258
18,262144,8,0.0258
18,262144,FULLY,0.0258
19,524288,1,0.0258
19,524288,2,0.0258
19,524288,4,0.0258
19,524288,8,0.0258
19,524288,FULLY,0.0258
20,1048576,1,0.0258
20,1048576,2,0.0258
20,1048576,4,0.0258
20,1048576,8,0.0258
20,1048576,FULLY,0.0258
